,Time,Device_id,Gps_module_status,Use_time_gms,Enable_status,Enable_time,TTFF,SNR1,SNR2,SNR3,SNR4,SNR5,SNR6,SNR7,SNR8,Gps_signal_status,Signal_time,Total_time
0,3/8/18 20:25,GEPT-UCW-TUC,Detect OK!,8847.955,OK,0.61,70,29,33,34,33,37,27,37,27,PASS,121.05,0:02:37
1,3/9/18 9:19,G8CA-SF7-DTS,Detect OK!,1151.488,OK,3.55,27,38,28,38,27,40,40,40,40,PASS,88.41,0:02:07
2,3/8/18 19:26,GP76-Z7K-E3C,Detect OK!,5345.444,OK,0.61,20,31,32,26,33,36,30,35,35,PASS,120.82,0:02:36
3,3/9/18 9:43,G8WS-XGT-SEB,Detect OK!,2588.382,OK,3.58,28,41,41,41,41,40,40,39,40,PASS,87.95,0:02:08
4,3/9/18 9:35,G9NS-GTG-F63,Detect OK!,2171.131,OK,0.61,31,41,40,28,40,41,42,42,41,PASS,34.04,0:01:09
5,3/9/18 10:24,G5BW-J8V-VK4,Detect OK!,363.152,OK,3.58,46,40,40,39,40,0,0,0,0,PASS,91.32,0:02:10
6,3/8/18 20:33,GEVZ-MD7-YC7,Detect OK!,9397.468,OK,3.55,22,36,28,36,27,38,26,38,29,PASS,38.08,0:01:19
7,3/9/18 11:17,GMTC-HD6-647,Detect OK!,3011.602,OK,3.55,49,37,29,37,37,38,39,29,30,PASS,51.26,0:01:31
8,3/9/18 9:11,GCB2-7CP-W32,Detect OK!,257.465,OK,3.58,28,40,40,40,40,41,42,41,41,PASS,30.36,0:00:59
9,3/8/18 19:21,GNWE-TN4-X7T,Detect OK!,5117.392,OK,0.61,49,31,32,26,33,36,30,35,35,PASS,50.85,0:01:26
10,3/8/18 19:36,GMFY-ZAU-E88,Detect OK!,5755.626,OK,0.61,20,34,34,34,34,38,37,30,38,PASS,120.258,0:02:37
11,3/9/18 9:31,G9U3-6E5-WS3,Detect OK!,1460.222,OK,0.61,24,41,40,41,40,41,41,41,41,PASS,27.31,0:00:59
12,3/9/18 10:00,G6X8-7BP-EYM,Detect OK!,841.621,OK,0.61,23,40,40,39,40,40,40,40,27,PASS,84.65,0:02:02
13,3/8/18 20:31,GEZW-CUX-ETB,Detect OK!,9302.245,OK,0.62,35,36,28,36,27,35,31,37,34,PASS,37.22,0:01:15
14,3/9/18 10:18,G63U-JDX-KAM,Detect OK!,6.968,OK,0.61,29,40,40,39,40,0,0,0,0,PASS,89.53,0:01:51
15,3/9/18 10:25,G4PG-VHR-4W9,Detect OK!,4695.845,OK,3.58,37,40,41,41,41,41,41,41,41,PASS,44.53,0:01:26
16,3/9/18 9:43,G8XT-FR7-A5R,Detect OK!,2170.293,OK,0.61,30,41,41,41,41,41,42,41,41,PASS,31.89,0:01:06
17,3/8/18 18:59,GSRT-EZC-JBX,Detect OK!,3695.135,OK,3.58,20,32,28,30,27,37,37,37,31,PASS,120.51,0:02:40
18,3/8/18 19:08,GREJ-GCP-J3A,Detect OK!,4111.823,OK,3.58,68,34,34,34,34,31,38,39,30,PASS,69.64,0:01:49
19,3/8/18 20:38,GF8Z-Y9B-JF5,Detect OK!,9684.316,OK,3.55,50,36,28,36,27,31,35,28,32,PASS,89.12,0:02:07
20,3/9/18 10:15,G6A2-VRW-G9Y,Detect OK!,1774.94,OK,0.61,24,40,40,40,40,39,40,27,28,PASS,83.09,0:01:57
21,3/9/18 10:21,G5FC-3H7-9UB,Detect OK!,4444.182,OK,3.58,30,41,41,41,41,41,41,41,41,PASS,32.22,0:01:13
22,3/9/18 9:02,GE7B-86C-K4Y,Detect OK!,413.819,OK,0.61,30,41,41,41,41,0,0,0,0,PASS,32.21,0:00:52
23,3/8/18 18:43,GTT5-JXW-VBJ,Detect OK!,2673.309,OK,0.61,45,34,34,34,34,29,28,31,30,PASS,48.707,0:01:32
24,3/9/18 10:49,GJMR-PVP-GYY,Detect OK!,1349.893,OK,3.55,29,38,38,38,38,0,0,0,0,PASS,32.44,0:01:14
25,3/8/18 19:01,GM33-PNZ-V6Y,Detect OK!,3884.874,OK,0.61,50,32,28,30,27,37,37,37,31,PASS,53.46,0:01:29
26,3/9/18 9:05,GDWS-8RW-ZN2,Detect OK!,503.31,OK,0.61,41,42,42,42,42,43,42,42,42,PASS,83.85,0:01:56
27,3/9/18 10:57,GFUD-5JW-3GZ,Detect OK!,1714.027,OK,3.57,20,38,38,38,38,0,0,0,0,PASS,120.32,0:02:41
28,3/8/18 18:00,GXKY-2AY-4BY,Detect OK!,323.66,OK,0.61,0,40,39,39,39,0,0,0,0,PASS,0.84,0:00:21
29,3/8/18 18:24,GVYM-RHT-SGA,Detect OK!,1651.733,OK,0.61,39,38,38,37,38,39,38,39,28,PASS,42.22,0:01:16
30,3/8/18 18:34,GUS8-24U-N2W,Detect OK!,2209.901,OK,0.61,16,31,30,38,38,39,38,39,28,PASS,120.68,0:02:38
31,3/9/18 10:38,G2S5-WFP-YTT,Detect OK!,593.711,OK,3.58,36,39,39,39,39,0,0,0,0,PASS,95.021,0:02:14
32,3/9/18 11:00,GHEE-T8T-PS3,Detect OK!,2538.895,OK,0.61,47,36,35,27,36,36,37,36,28,PASS,102.64,0:02:09
33,3/9/18 9:54,G7XC-CSN-VZR,Detect OK!,471.727,OK,3.58,32,41,41,41,41,40,40,40,41,PASS,80.33,0:01:59
34,3/8/18 18:12,GWJR-7JS-G4N,Detect OK!,898.089,OK,3.55,30,34,38,38,34,35,38,38,38,PASS,88.17,0:02:04
35,3/9/18 9:09,GD3T-D4P-8NV,Detect OK!,523.818,OK,3.58,23,40,40,40,40,40,41,41,40,PASS,84.17,0:02:05
36,3/8/18 17:22,GWYS-N3U-ZNA,Detect OK!,259.882,OK,0.61,31,36,36,36,36,40,41,40,41,PASS,31.97,0:01:07
37,3/9/18 10:33,G4FV-RKE-EC2,Detect OK!,330.124,OK,3.55,29,41,41,41,41,0,0,0,0,PASS,80.12,0:01:58
38,3/9/18 9:23,GANK-XW9-AV5,Detect OK!,1410.942,OK,3.58,39,40,39,29,39,41,42,42,41,PASS,44.09,0:01:23
39,3/9/18 10:02,G6RP-59B-4WC,Detect OK!,994.037,OK,3.58,36,40,40,40,40,40,40,40,27,PASS,45.86,0:01:23
40,3/8/18 18:28,GUHA-25D-VH9,Detect OK!,1927.184,OK,0.61,33,31,30,38,38,39,38,39,28,PASS,35.69,0:01:09
41,3/8/18 19:19,GNTM-TNU-YNV,Detect OK!,4721.399,OK,3.57,95,34,34,34,34,38,37,30,38,PASS,120.158,0:02:52
42,3/9/18 9:38,G9CY-5PD-V9R,Detect OK!,2277.502,OK,3.58,33,41,41,41,41,41,42,42,41,PASS,92.67,0:02:11
